N,occurrence_id,classification,type_of_occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
0,47965,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARIQUEMES,RO,BRAZIL,SJOG,05/05/2013,11:00:00,UNKNOWN,SERIPA-7,-,-,-,-,0,1,-,30/07/2016
1,50313,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,CACOAL,RO,BRAZIL,SSKW,25/11/2013,12:32:00,YES,SERIPA-7,FINISHED,-,1.0,07/04/2014,0,1,-,30/07/2016
2,34078,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CEREJEIRAS,RO,BRAZIL,****,07/08/2008,15:10:00,YES,SERIPA-7,FINISHED,-,1.0,07/07/2016,0,1,1.0,30/07/2016
3,44988,ACCIDENT,SLOW LANDING,AMAJARI,RR,BRAZIL,****,11/08/2011,17:00:00,YES,SERIPA-7,FINISHED,-,1.0,20/09/2012,4,1,-,30/07/2016
4,38855,ACCIDENT,LOSS OF CONTROL IN THE AIR,ACEGUA,RS,BRAZIL,****,28/12/2009,17:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
5,46633,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ABADIA DE GOIAS,GO,BRAZIL,****,15/11/2012,12:40:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
6,43063,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALTO ALEGRE,RR,BRAZIL,****,21/09/2010,17:10:00,YES,SERIPA-7,FINISHED,-,1.0,04/06/2012,2,1,-,30/07/2016
7,45280,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ALEGRE,RR,BRAZIL,****,22/11/2011,16:40:00,YES,SERIPA-1,FINISHED,-,1.0,22/08/2013,2,1,-,30/07/2016
8,34515,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ALEGRE,RR,BRAZIL,****,16/11/2008,12:25:00,YES,SERIPA-7,FINISHED,-,1.0,18/03/2016,3,1,-,30/07/2016
9,45940,ACCIDENT,UNKNOWN,ALTO ALEGRE,RR,BRAZIL,****,09/06/2010,13:00:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
10,44316,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALTO ALEGRE,RR,BRAZIL,****,06/04/2011,20:25:00,YES,SERIPA-7,FINISHED,-,1.0,30/07/2013,2,1,-,30/07/2016
11,46201,ACCIDENT,ABOUT LANDING GEAR,ALTO ALEGRE,RR,BRAZIL,****,01/08/2012,16:20:00,YES,SERIPA-7,FINISHED,-,1.0,15/08/2014,1,1,-,30/07/2016
12,46152,ACCIDENT,TERRAIN COLLISION,ANGRA DOS REIS,RJ,BRAZIL,****,12/07/2012,20:15:00,YES,SERIPA-3,IN PROGRESS,-,-,-,0,1,-,30/07/2016
13,37797,ACCIDENT,TRACK INCURSION,ANGRA DOS REIS,RJ,BRAZIL,****,12/06/2009,14:50:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
14,26140,ACCIDENT,LOSS OF CONTROL IN THE AIR,ANGRA DOS REIS,RJ,BRAZIL,****,22/01/2006,20:00:00,YES,SERIPA-3,FINISHED,-,1.0,30/12/2009,21,1,-,30/07/2016
15,52284,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,ANGRA DOS REIS,RJ,BRAZIL,SDAG,22/08/2014,14:30:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
16,46841,ACCIDENT,HARD LANDING,ANGRA DOS REIS,RJ,BRAZIL,SDMC,27/12/2012,16:03:00,YES,SERIPA-3,FINISHED,-,1.0,21/10/2013,0,1,-,30/07/2016
17,53484,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ANGRA DOS REIS,RJ,BRAZIL,****,18/09/2015,13:30:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
18,46310,ACCIDENT,ANOTHER TYPES,ANGRA DOS REIS,RJ,BRAZIL,****,31/08/2012,18:40:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
19,43986,SERIOUS INCIDENT,ABOUT ROTOR,ANGRA DOS REIS,RJ,BRAZIL,****,20/02/2011,21:20:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
20,38660,ACCIDENT,SYSTEM / COMPONENT FAILURE,ANGRA DOS REIS,RJ,BRAZIL,SDAG,12/10/2009,16:10:00,YES,SERIPA-3,FINISHED,-,0.0,07/07/2016,3,1,1.0,30/07/2016
21,31395,ACCIDENT,ANOTHER TYPES,ANGRA DOS REIS,RJ,BRAZIL,****,15/01/2008,11:41:00,YES,SERIPA-3,REOPENED,-,0.0,28/04/2010,9,1,-,30/07/2016
22,52982,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BOA VISTA,RR,BRAZIL,****,29/01/2015,20:30:00,YES,SERIPA-7,FINISHED,-,1.0,22/05/2015,0,1,-,30/07/2016
